BJD - 2454833, Corrected Flux
2146.453190790, 1.001068361,
2146.473623279, 1.001037127,
2146.514487955, 1.000958896,
2146.534920442, 1.000908519,
2146.555352729, 1.000954942,
2146.575785115, 1.000885360,
2146.596217601, 1.000790430,
2146.616649885, 1.000791483,
2146.637082270, 1.000835598,
2146.657514654, 1.000860764,
2146.698379520, 1.000731728,
2146.718811801, 1.000851345,
2146.739244183, 1.000828927,
2146.780109044, 1.000739015,
2146.800541324, 1.000728235,
2146.820973803, 1.000698005,
2146.841406181, 1.000676777,
2146.861838459, 1.000771163,
2146.882270937, 1.000647840,
2146.902703313, 1.000666432,
2146.923135589, 1.000590048,
2146.943568065, 1.000719995,
2146.964000440, 1.000698957,
2146.984432714, 1.000785090,
2147.004865188, 1.000660882,
2147.025297562, 1.000645819,
2147.045729834, 1.000676930,
2147.066162307, 1.000646139,
2147.086594678, 1.000681709,
2147.107027049, 0.996721091,
2147.127459420, 0.991791321,
2147.147891790, 0.992309228,
2147.168324259, 0.998173720,
2147.188756527, 1.000546651,
2147.209188895, 1.000585587,
2147.229621363, 1.000568286,
2147.250053730, 1.000620889,
2147.290918462, 1.000618673,
2147.311350827, 1.000649926,
2147.331783091, 1.000536580,
2147.352215556, 1.000443875,
2147.372647819, 1.000491134,
2147.393080182, 1.000526217,
2147.413512644, 1.000621320,
2147.433944906, 1.000538469,
2147.495241987, 1.000610281,
2147.515674347, 1.000519526,
2147.536106805, 1.000545605,
2147.556539064, 1.000456470,
2147.576971421, 1.000449949,
2147.597403878, 1.000460299,
2147.617836235, 1.000680430,
2147.638268491, 1.000747295,
2147.658700946, 1.000541844,
2147.679133301, 1.000610910,
2147.699565655, 1.000518376,
2147.719998008, 1.000580926,
2147.740430361, 1.000515316,
2147.760862814, 1.000494407,
2147.781295066, 1.000506598,
2147.801727417, 1.000533238,
2147.822159868, 1.000425755,
2147.842592118, 1.000482320,
2147.863024468, 1.000316622,
2147.883456917, 1.000453843,
2147.903889165, 1.000556755,
2147.924321513, 1.000483623,
2147.944753960, 1.000480933,
2147.985618553, 1.000430988,
2148.006050998, 1.000509367,
2148.026483243, 1.000579199,
2148.046915588, 1.000581697,
2148.067348031, 1.000428650,
2148.087780375, 1.000392359,
2148.108212617, 1.000533111,
2148.128645060, 1.000521802,
2148.149077301, 1.000524381,
2148.169509642, 1.000669701,
2148.189942082, 1.000434662,
2148.210374322, 1.000434054,
2148.230806661, 1.000573228,
2148.251239100, 1.000517630,
2148.271671338, 1.000400232,
2148.292103775, 1.000579006,
2148.312536112, 1.000471697,
2148.332968349, 1.000446355,
2148.353400784, 1.000433820,
2148.373833120, 1.000463293,
2148.394265354, 1.000500377,
2148.414697788, 1.000797114,
2148.475994787, 1.000575700,
2148.496427119, 1.000518656,
2148.516859450, 1.000611900,
2148.537291781, 1.000501017,
2148.557724111, 1.000501825,
2148.578156440, 1.000529657,
2148.598588869, 1.000577587,
2148.619021098, 1.000490264,
2148.639453425, 1.000416310,
2148.659885852, 1.000554728,
2148.680318079, 1.000505673,
2148.700750405, 1.000530225,
2148.721182831, 1.000481986,
2148.741615056, 1.000518190,
2148.762047380, 1.000515206,
2148.782479804, 1.000505703,
2148.802912027, 1.000374796,
2148.823344350, 1.000516751,
2148.843776771, 1.000458602,
2148.864208993, 1.000560012,
2148.884641414, 1.000459782,
2148.905073634, 1.000499003,
2148.925505954, 1.000476274,
2148.945938373, 1.000590178,
2148.966370592, 1.000703754,
2148.986802910, 1.000645813,
2149.007235328, 1.000408296,
2149.027667644, 1.000612041,
2149.048099861, 1.000526001,
2149.068532277, 1.000489228,
2149.088964592, 1.000446989,
2149.109396807, 1.000543283,
2149.129829221, 1.000568386,
2149.150261534, 1.000554228,
2149.170693747, 1.000446482,
2149.191126159, 1.000595339,
2149.211558471, 1.000663923,
2149.231990683, 1.000568859,
2149.252423093, 1.000531181,
2149.272855404, 1.000542326,
2149.293287713, 1.000577641,
2149.313720022, 1.000531078,
2149.334152331, 1.000524682,
2149.354584638, 1.000576537,
2149.395449252, 1.000622774,
2149.456746169, 1.000404784,
2149.477178574, 1.000488579,
2149.497610878, 1.000594697,
2149.518043081, 1.000567452,
2149.538475484, 1.000645464,
2149.558907786, 1.000557424,
2149.579339987, 0.999872228,
2149.599772389, 0.993820311,
2149.620204589, 0.991462401,
2149.640636889, 0.994125956,
2149.661069288, 1.000164524,
2149.681501487, 1.000573426,
2149.701933786, 1.000667886,
2149.722366183, 1.000567039,
2149.742798380, 1.000549584,
2149.763230677, 1.000620459,
2149.783663073, 1.000489777,
2149.804095268, 1.000581418,
2149.824527563, 1.000674077,
2149.844959958, 1.000671057,
2149.865392251, 1.000576058,
2149.885824444, 1.000466841,
2149.947121321, 1.000499530,
2149.967553712, 1.000652730,
2150.008418192, 1.000556277,
2150.028850581, 1.000593944,
2150.049282870, 1.000581723,
2150.069715258, 1.000588841,
2150.090147445, 1.000482106,
2150.110579733, 1.000595651,
2150.131012119, 1.000502449,
2150.151444305, 1.000558147,
2150.171876590, 1.000617030,
2150.192308975, 1.000511442,
2150.212741159, 1.000490161,
2150.233173443, 1.000614205,
2150.253605826, 1.000535299,
2150.274038108, 1.000468792,
2150.294470290, 1.000489009,
2150.314902672, 1.000538874,
2150.335334952, 1.000523826,
2150.355767133, 1.000511161,
2150.376199513, 1.000572186,
2150.396631692, 1.000441230,
2150.417063970, 1.000453046,
2150.437496348, 1.000530674,
2150.457928526, 1.000555696,
2150.478360803, 1.000460950,
2150.498793179, 1.000468598,
2150.519225355, 1.000422649,
2150.539657630, 1.000428936,
2150.560090005, 1.000468949,
2150.580522179, 1.000399442,
2150.600954453, 1.000484950,
2150.621386826, 1.000478816,
2150.682683641, 1.000514442,
2150.703115912, 1.000601485,
2150.723548183, 1.000280978,
2150.743980453, 1.000508549,
2150.764412722, 1.000340067,
2150.784845090, 1.000428080,
2150.805277258, 1.000525497,
2150.825709525, 1.000348336,
2150.846141893, 1.000299172,
2150.866574059, 1.000443024,
2150.887006324, 1.000452105,
2150.907438690, 1.000388076,
2150.927870855, 1.000304655,
2150.948303119, 1.000437113,
2150.968735482, 1.000425229,
2150.989167646, 1.000286475,
2151.009599908, 1.000384773,
2151.030032170, 1.000368785,
2151.050464431, 1.000528079,
2151.070896692, 1.000389298,
2151.091329052, 1.000344815,
2151.111761212, 1.000251512,
2151.132193471, 1.000247523,
2151.152625830, 1.000340826,
2151.173057988, 1.000347109,
2151.193490245, 1.000358023,
2151.213922602, 1.000464002,
2151.234354758, 1.000272744,
2151.254787114, 1.000321586,
2151.275219370, 1.000334578,
2151.295651524, 1.000276063,
2151.316083879, 1.000376232,
2151.336516132, 1.000305554,
2151.356948285, 1.000290885,
2151.377380638, 1.000385768,
2151.397812889, 1.000258116,
2151.418245041, 1.000296688,
2151.438677392, 1.000388133,
2151.459109642, 1.000268071,
2151.479541792, 1.000275824,
2151.499974141, 1.000194216,
2151.520406390, 1.000312724,
2151.540838638, 1.000235865,
2151.561270886, 1.000163504,
2151.581703132, 1.000245386,
2151.602135379, 1.000271294,
2151.622567725, 1.000257472,
2151.642999870, 1.000133130,
2151.663432115, 1.000152504,
2151.683864459, 1.000056152,
2151.704296603, 1.000302080,
2151.724728846, 1.000090490,
2151.745161189, 1.000288520,
2151.786025572, 1.000128926,
2151.806457913, 1.000109202,
2151.826890053, 1.000170602,
2151.847322294, 1.000044980,
2151.867754533, 1.000139310,
2151.908619110, 1.000117938,
2151.929051247, 1.000125998,
2151.949483484, 1.000148107,
2151.969915821, 1.000025585,
2151.990348057, 0.999979657,
2152.010780193, 1.000079128,
2152.031212528, 1.000098596,
2152.051644762, 1.000191445,
2152.072076896, 0.997291670,
2152.092509229, 0.991461804,
2152.112941462, 0.991298277,
2152.133373594, 0.996361517,
2152.153805925, 1.000059776,
2152.174238156, 1.000142324,
2152.194670287, 1.000088531,
2152.215102617, 1.000131119,
2152.235534847, 1.000036109,
2152.255966976, 1.000042197,
2152.276399304, 1.000129093,
2152.296831532, 0.999971744,
2152.317263659, 1.000134804,
2152.337695986, 1.000018782,
2152.358128212, 0.999943499,
2152.378560438, 0.999985634,
2152.398992663, 1.000131822,
2152.419424887, 1.000065442,
2152.439857111, 0.999966974,
2152.460289435, 1.000008347,
2152.480721558, 1.000059343,
2152.501153880, 1.000002911,
2152.521586102, 1.000050129,
2152.562450544, 1.000115884,
2152.582882764, 1.000096534,
2152.603314884, 1.000126905,
2152.623747203, 1.000000157,
2152.644179322, 1.000042810,
2152.664611540, 1.000057722,
2152.685043857, 0.999996799,
2152.705475974, 1.000047722,
2152.725908191, 1.000003432,
2152.746340506, 1.000093575,
2152.766772622, 1.000180993,
2152.787204836, 1.000059165,
2152.807637151, 1.000157005,
2152.828069364, 1.000015488,
2152.848501478, 1.000052717,
2152.868933790, 1.000083102,
2152.889366002, 1.000023249,
2152.909798114, 1.000115192,
2152.930230425, 0.999983889,
2152.950662635, 1.000174701,
2152.971094745, 1.000059190,
2152.991527055, 1.000007352,
2153.011959263, 1.000071941,
2153.032391372, 0.999994611,
2153.052823680, 1.000093305,
2153.073255887, 1.000168559,
2153.093688193, 1.000058901,
2153.114120299, 1.000109498,
2153.134552505, 1.000040137,
2153.154984810, 1.000112871,
2153.175416915, 1.000152814,
2153.195849119, 1.000175794,
2153.216281422, 1.000019254,
2153.236713525, 1.000064558,
2153.257145727, 1.000028934,
2153.277577929, 1.000056225,
2153.298010231, 1.000099424,
2153.318442331, 1.000101578,
2153.338874532, 1.000119853,
2153.379738930, 1.000034673,
2153.400171229, 1.000142469,
2153.420603327, 1.000091520,
2153.441035524, 1.000196020,
2153.461467822, 1.000135682,
2153.481899918, 1.000151492,
2153.502332114, 1.000235108,
2153.543196504, 1.000254678,
2153.563628699, 1.000134550,
2153.584060992, 1.000303450,
2153.604493086, 1.000195110,
2153.624925278, 1.000120902,
2153.645357570, 1.000236743,
2153.665789762, 1.000233444,
2153.686221953, 1.000176662,
2153.706654144, 1.000136881,
2153.727086334, 1.000234280,
2153.747518523, 1.000148743,
2153.767950712, 1.000071194,
2153.788382900, 1.000175294,
2153.808815189, 1.000278224,
2153.890543835, 1.000176966,
2153.910976020, 1.000176275,
2153.931408305, 1.000154962,
2153.951840389, 1.000179760,
2153.972272573, 1.000247423,
2153.992704856, 1.000193259,
2154.013136938, 1.000173543,
2154.033569120, 1.000153532,
2154.054001302, 1.000207744,
2154.074433483, 1.000199608,
2154.094865663, 1.000105887,
2154.115297843, 1.000052682,
2154.135730022, 1.000181155,
2154.156162201, 1.000066052,
2154.176594380, 1.000186257,
2154.197026557, 1.000176391,
2154.217458734, 1.000183946,
2154.237891011, 1.000178006,
2154.258323087, 1.000099324,
2154.278755363, 1.000086246,
2154.299187538, 1.000053983,
2154.319619613, 1.000122718,
2154.340051887, 1.000090931,
2154.360484060, 1.000096927,
2154.380916134, 1.000207053,
2154.401348406, 1.000128108,
2154.421780578, 1.000147054,
2154.442212650, 1.000194595,
2154.462644920, 1.000028751,
2154.483077091, 0.999966174,
2154.503509260, 1.000019592,
2154.523941430, 1.000019180,
2154.544373598, 0.999754419,
2154.564805767, 0.994308425,
2154.585237935, 0.990793120,
2154.605670102, 0.992625729,
2154.626102268, 0.998808613,
2154.646534535, 0.999960803,
2154.687398765, 1.000025677,
2154.707831030, 1.000137702,
2154.728263094, 1.000864977,
2154.748695257, 0.999891246,
2154.769127420, 1.000075313,
2154.789559583, 1.000091299,
2154.809991845, 1.000119430,
2154.830423906, 0.999984918,
2154.850856067, 1.000019084,
2154.871288327, 1.000011239,
2154.891720388, 1.000032347,
2154.912152547, 1.000000952,
2154.932584806, 1.000108170,
2154.953016864, 1.000169236,
2154.973449021, 1.000054525,
2154.993881279, 0.999984471,
2155.014313335, 1.000070712,
2155.034745492, 1.000130040,
2155.055177747, 0.999965828,
2155.075609902, 1.000076114,
2155.096041957, 0.999892423,
2155.116474211, 0.999878796,
2155.136906364, 0.999984195,
2155.157338417, 0.999932497,
2155.177770670, 0.999997906,
2155.218634873, 0.999965565,
2155.239067124, 1.000109939,
2155.259499275, 0.999979169,
2155.279931325, 0.999881186,
2155.300363574, 0.999923415,
2155.320795723, 0.999954294,
2155.341227871, 0.999969360,
2155.382092166, 1.000029408,
2155.402524413, 0.999930208,
2155.422956459, 0.999880888,
2155.443388605, 1.000009310,
2155.463820850, 0.999890458,
2155.484252895, 0.999940634,
2155.504685039, 0.999944373,
2155.525117182, 0.999943305,
2155.545549325, 0.999993735,
2155.565981468, 0.999938602,
2155.586413710, 0.999941479,
2155.606845751, 0.999944657,
2155.627277892, 0.999923131,
2155.647710133, 1.000045923,
2155.668142173, 1.000010710,
2155.688574312, 0.999874651,
2155.709006551, 0.999919668,
2155.729438590, 0.999932052,
2155.749870728, 0.999878087,
2155.770302965, 0.999880731,
2155.790735002, 1.000036934,
2155.852031409, 0.999876898,
2155.872463544, 0.999930928,
2155.892895779, 0.999768660,
2155.913327912, 0.999757869,
2155.933759946, 0.999906000,
2155.954192179, 0.999852420,
2155.974624311, 0.999961254,
2155.995056442, 0.999881499,
2156.015488573, 0.999693945,
2156.035920704, 0.999760369,
2156.056352934, 0.999673642,
2156.076784964, 0.999786565,
2156.097217093, 0.999803708,
2156.117649322, 0.999735916,
2156.138081350, 0.999761590,
2156.158513477, 0.999713981,
2156.178945704, 0.999847360,
2156.199377731, 0.999746538,
2156.219809857, 1.000200409,
2156.240242082, 0.999872603,
2156.260674108, 0.999702382,
2156.281106232, 0.999839038,
2156.301538356, 0.999788378,
2156.321970479, 0.999778047,
2156.403698968, 0.999694602,
2156.424131189, 0.999793215,
2156.444563209, 0.999779241,
2156.464995329, 0.999627729,
2156.485427549, 0.999776883,
2156.505859567, 0.999667865,
2156.546723903, 0.999914517,
2156.567155921, 0.999799813,
2156.587588138, 0.999835216,
2156.608020254, 0.999955196,
2156.628452269, 0.999805875,
2156.648884485, 0.999719761,
2156.669316599, 0.999735178,
2156.689748614, 0.999719935,
2156.710180828, 0.999742746,
2156.730612941, 0.999757690,
2156.751045053, 0.999631320,
2156.771477166, 0.999701027,
2156.791909277, 0.999756091,
2156.812341389, 0.999689536,
2156.832773499, 0.999638531,
2156.853205609, 0.999725750,
2156.873637719, 0.999728507,
2156.894069928, 0.999730164,
2156.914501937, 0.999680330,
2156.934934045, 0.999746154,
2156.955366253, 0.999773887,
2156.975798260, 0.999697739,
2156.996230366, 0.999742668,
2157.016662472, 0.999574438,
2157.037094578, 0.997794933,
2157.057526683, 0.991727086,
2157.077958787, 0.990582256,
2157.098390892, 0.994927331,
2157.118822995, 0.999577470,
2157.139255098, 0.999847629,
2157.159687201, 0.999762963,
2157.180119403, 0.999637606,
2157.200551404, 0.999779503,
2157.220983505, 0.999693956,
2157.241415706, 0.999865243,
2157.261847806, 0.999784638,
2157.302712004, 0.999856791,
2157.323144103, 0.999821477,
2157.364008298, 0.999767283,
2157.384440395, 0.999851840,
2157.404872391, 0.999848476,
2157.425304587, 0.999802661,
2157.445736683, 0.999751264,
2157.466168678, 0.999768194,
2157.486600872, 0.999639820,
2157.507032966, 0.999840622,
2157.527464960, 0.999910830,
2157.547897153, 0.999700485,
2157.568329245, 0.999817203,
2157.588761337, 0.999817928,
2157.609193428, 0.999761331,
2157.629625519, 0.999796330,
2157.650057610, 0.999783563,
2157.670489700, 0.999831066,
2157.690921789, 0.999725396,
2157.711353878, 0.999813121,
2157.731785966, 0.999942777,
2157.752218054, 0.999934987,
2157.813514315, 1.000034097,
2157.833946501, 1.000008884,
2157.854378486, 1.000037217,
2157.874810571, 0.999897905,
2157.895242755, 0.999950110,
2157.915674739, 0.999918397,
2157.936106823, 1.000032264,
2157.956539005, 0.999946422,
2157.976970988, 1.000097174,
2157.997403070, 0.999961165,
2158.017835251, 1.000030562,
2158.038267232, 1.000047603,
2158.058699312, 1.000101909,
2158.079131493, 1.000127159,
2158.099563572, 1.000085746,
2158.119995551, 1.000001261,
2158.140427729, 0.999994554,
2158.160859807, 0.999986904,
2158.181291785, 1.000043647,
2158.201723961, 0.999904753,
2158.222156038, 1.000025064,
2158.242588014, 1.000136169,
2158.263020189, 0.999951099,
2158.283452264, 0.999975216,
2158.303884238, 1.000027039,
2158.324316412, 1.000198988,
2158.344748486, 1.000045067,
2158.365180659, 1.000126945,
2158.385612631, 0.999985439,
